date,mmdd,month,day,weekday,count,abundance,description
2024-05-22,05-22,May,22,Wednesday,27343,Very High,Number of NYC Ferry boardings
2024-05-23,05-23,May,23,Thursday,18985,Medium,Number of NYC Ferry boardings
2024-05-24,05-24,May,24,Friday,29679,Very High,Number of NYC Ferry boardings
2024-05-25,05-25,May,25,Saturday,48242,Very High,Number of NYC Ferry boardings
2024-05-26,05-26,May,26,Sunday,50701,Very High,Number of NYC Ferry boardings
2024-05-27,05-27,May,27,Monday,11390,Very Low,Number of NYC Ferry boardings
2024-05-28,05-28,May,28,Tuesday,25492,High,Number of NYC Ferry boardings
2024-05-29,05-29,May,29,Wednesday,22762,High,Number of NYC Ferry boardings
2024-05-30,05-30,May,30,Thursday,21638,Medium,Number of NYC Ferry boardings
2024-05-31,05-31,May,31,Friday,25597,High,Number of NYC Ferry boardings
2024-06-01,06-01,June,1,Saturday,50458,Very High,Number of NYC Ferry boardings
2024-06-02,06-02,June,2,Sunday,37360,Very High,Number of NYC Ferry boardings
2024-06-03,06-03,June,3,Monday,22209,High,Number of NYC Ferry boardings
2024-06-04,06-04,June,4,Tuesday,24998,High,Number of NYC Ferry boardings
2024-06-05,06-05,June,5,Wednesday,23277,High,Number of NYC Ferry boardings
2024-06-06,06-06,June,6,Thursday,18856,Medium,Number of NYC Ferry boardings
2024-06-07,06-07,June,7,Friday,28641,Very High,Number of NYC Ferry boardings
2024-06-08,06-08,June,8,Saturday,48794,Very High,Number of NYC Ferry boardings
2024-06-09,06-09,June,9,Sunday,31377,Very High,Number of NYC Ferry boardings
2024-06-10,06-10,June,10,Monday,22255,High,Number of NYC Ferry boardings
2024-06-11,06-11,June,11,Tuesday,23043,High,Number of NYC Ferry boardings
2024-06-12,06-12,June,12,Wednesday,24335,High,Number of NYC Ferry boardings
2024-06-13,06-13,June,13,Thursday,27214,Very High,Number of NYC Ferry boardings
2024-06-14,06-14,June,14,Friday,22254,High,Number of NYC Ferry boardings
2024-06-15,06-15,June,15,Saturday,50735,Very High,Number of NYC Ferry boardings
2024-06-16,06-16,June,16,Sunday,45335,Very High,Number of NYC Ferry boardings
2024-06-17,06-17,June,17,Monday,26876,Very High,Number of NYC Ferry boardings
2024-06-18,06-18,June,18,Tuesday,25926,High,Number of NYC Ferry boardings
2024-06-19,06-19,June,19,Wednesday,43043,Very High,Number of NYC Ferry boardings
2024-06-20,06-20,June,20,Thursday,24693,High,Number of NYC Ferry boardings
2024-06-21,06-21,June,21,Friday,25135,High,Number of NYC Ferry boardings
2024-06-22,06-22,June,22,Saturday,37563,Very High,Number of NYC Ferry boardings
2024-06-23,06-23,June,23,Sunday,32231,Very High,Number of NYC Ferry boardings
2024-06-24,06-24,June,24,Monday,23102,High,Number of NYC Ferry boardings
2024-06-25,06-25,June,25,Tuesday,26269,High,Number of NYC Ferry boardings
2024-06-26,06-26,June,26,Wednesday,23002,High,Number of NYC Ferry boardings
2024-06-27,06-27,June,27,Thursday,28814,Very High,Number of NYC Ferry boardings
2024-06-28,06-28,June,28,Friday,29093,Very High,Number of NYC Ferry boardings
2024-06-29,06-29,June,29,Saturday,35964,Very High,Number of NYC Ferry boardings
2024-06-30,06-30,June,30,Sunday,20736,Medium,Number of NYC Ferry boardings
2024-07-01,07-01,July,1,Monday,27007,Very High,Number of NYC Ferry boardings
2024-07-02,07-02,July,2,Tuesday,28369,Very High,Number of NYC Ferry boardings
2024-07-03,07-03,July,3,Wednesday,27935,Very High,Number of NYC Ferry boardings
2024-07-04,07-04,July,4,Thursday,42313,Very High,Number of NYC Ferry boardings
2024-07-05,07-05,July,5,Friday,29663,Very High,Number of NYC Ferry boardings
2024-07-06,07-06,July,6,Saturday,37335,Very High,Number of NYC Ferry boardings
2024-07-07,07-07,July,7,Sunday,35737,Very High,Number of NYC Ferry boardings
2024-07-08,07-08,July,8,Monday,23075,High,Number of NYC Ferry boardings
2024-07-09,07-09,July,9,Tuesday,24758,High,Number of NYC Ferry boardings
2024-07-10,07-10,July,10,Wednesday,24721,High,Number of NYC Ferry boardings
2024-07-11,07-11,July,11,Thursday,26275,High,Number of NYC Ferry boardings
2024-07-12,07-12,July,12,Friday,20160,Medium,Number of NYC Ferry boardings
2024-07-13,07-13,July,13,Saturday,33334,Very High,Number of NYC Ferry boardings
2024-07-14,07-14,July,14,Sunday,38283,Very High,Number of NYC Ferry boardings
2024-07-15,07-15,July,15,Monday,22735,High,Number of NYC Ferry boardings
2024-07-16,07-16,July,16,Tuesday,24463,High,Number of NYC Ferry boardings
2024-07-17,07-17,July,17,Wednesday,23188,High,Number of NYC Ferry boardings
2024-07-18,07-18,July,18,Thursday,25762,High,Number of NYC Ferry boardings
2024-07-19,07-19,July,19,Friday,30703,Very High,Number of NYC Ferry boardings
2024-07-20,07-20,July,20,Saturday,47926,Very High,Number of NYC Ferry boardings
2024-07-21,07-21,July,21,Sunday,45347,Very High,Number of NYC Ferry boardings
2024-07-22,07-22,July,22,Monday,22933,High,Number of NYC Ferry boardings
2024-07-23,07-23,July,23,Tuesday,22864,High,Number of NYC Ferry boardings
2024-07-24,07-24,July,24,Wednesday,22052,High,Number of NYC Ferry boardings
2024-07-25,07-25,July,25,Thursday,25151,High,Number of NYC Ferry boardings
2024-07-26,07-26,July,26,Friday,30757,Very High,Number of NYC Ferry boardings
2024-07-27,07-27,July,27,Saturday,51525,Very High,Number of NYC Ferry boardings
2024-07-28,07-28,July,28,Sunday,44652,Very High,Number of NYC Ferry boardings
2024-07-29,07-29,July,29,Monday,22518,High,Number of NYC Ferry boardings
2024-07-30,07-30,July,30,Tuesday,26467,High,Number of NYC Ferry boardings
2024-07-31,07-31,July,31,Wednesday,22607,High,Number of NYC Ferry boardings
2024-08-01,08-01,August,1,Thursday,26528,High,Number of NYC Ferry boardings
2024-08-02,08-02,August,2,Friday,21843,High,Number of NYC Ferry boardings
2024-08-03,08-03,August,3,Saturday,33042,Very High,Number of NYC Ferry boardings
2024-08-04,08-04,August,4,Sunday,21597,Medium,Number of NYC Ferry boardings
2024-08-05,08-05,August,5,Monday,27900,Very High,Number of NYC Ferry boardings
2024-08-06,08-06,August,6,Tuesday,20291,Medium,Number of NYC Ferry boardings
2024-08-07,08-07,August,7,Wednesday,15342,Low,Number of NYC Ferry boardings
2024-08-08,08-08,August,8,Thursday,14782,Low,Number of NYC Ferry boardings
2024-08-09,08-09,August,9,Friday,12812,Low,Number of NYC Ferry boardings
2024-08-10,08-10,August,10,Saturday,48486,Very High,Number of NYC Ferry boardings
2024-08-11,08-11,August,11,Sunday,43233,Very High,Number of NYC Ferry boardings
2024-08-12,08-12,August,12,Monday,24911,High,Number of NYC Ferry boardings
2024-08-13,08-13,August,13,Tuesday,28963,Very High,Number of NYC Ferry boardings
2024-08-14,08-14,August,14,Wednesday,27912,Very High,Number of NYC Ferry boardings
2024-08-15,08-15,August,15,Thursday,28232,Very High,Number of NYC Ferry boardings
2024-08-16,08-16,August,16,Friday,29523,Very High,Number of NYC Ferry boardings
2024-08-17,08-17,August,17,Saturday,36329,Very High,Number of NYC Ferry boardings
2024-08-18,08-18,August,18,Sunday,23372,High,Number of NYC Ferry boardings
2024-08-19,08-19,August,19,Monday,21417,Medium,Number of NYC Ferry boardings
2024-08-20,08-20,August,20,Tuesday,25763,High,Number of NYC Ferry boardings
2024-08-21,08-21,August,21,Wednesday,27273,Very High,Number of NYC Ferry boardings
2024-08-22,08-22,August,22,Thursday,25685,High,Number of NYC Ferry boardings
2024-08-23,08-23,August,23,Friday,29586,Very High,Number of NYC Ferry boardings
2024-08-24,08-24,August,24,Saturday,47915,Very High,Number of NYC Ferry boardings
2024-08-25,08-25,August,25,Sunday,45217,Very High,Number of NYC Ferry boardings
2024-08-26,08-26,August,26,Monday,23068,High,Number of NYC Ferry boardings
2024-08-27,08-27,August,27,Tuesday,28055,Very High,Number of NYC Ferry boardings
2024-08-28,08-28,August,28,Wednesday,25090,High,Number of NYC Ferry boardings
2024-08-29,08-29,August,29,Thursday,24586,High,Number of NYC Ferry boardings
2024-08-30,08-30,August,30,Friday,22716,High,Number of NYC Ferry boardings
2024-08-31,08-31,August,31,Saturday,37683,Very High,Number of NYC Ferry boardings
2024-09-01,09-01,September,1,Sunday,34637,Very High,Number of NYC Ferry boardings
2024-09-02,09-02,September,2,Monday,46006,Very High,Number of NYC Ferry boardings
2024-09-03,09-03,September,3,Tuesday,23274,High,Number of NYC Ferry boardings
2024-09-04,09-04,September,4,Wednesday,24597,High,Number of NYC Ferry boardings
2024-09-05,09-05,September,5,Thursday,23766,High,Number of NYC Ferry boardings
2024-09-06,09-06,September,6,Friday,20940,Medium,Number of NYC Ferry boardings
2024-09-07,09-07,September,7,Saturday,21182,Medium,Number of NYC Ferry boardings
2024-09-08,09-08,September,8,Sunday,36585,Very High,Number of NYC Ferry boardings
2024-09-09,09-09,September,9,Monday,20347,Medium,Number of NYC Ferry boardings
2024-09-10,09-10,September,10,Tuesday,23062,High,Number of NYC Ferry boardings
2024-09-11,09-11,September,11,Wednesday,24454,High,Number of NYC Ferry boardings
2024-09-12,09-12,September,12,Thursday,23330,High,Number of NYC Ferry boardings
2024-09-13,09-13,September,13,Friday,24772,High,Number of NYC Ferry boardings
2024-09-14,09-14,September,14,Saturday,40396,Very High,Number of NYC Ferry boardings
2024-09-15,09-15,September,15,Sunday,33289,Very High,Number of NYC Ferry boardings
2024-09-16,09-16,September,16,Monday,21260,Medium,Number of NYC Ferry boardings
2024-09-17,09-17,September,17,Tuesday,21771,High,Number of NYC Ferry boardings
2024-09-18,09-18,September,18,Wednesday,20503,Medium,Number of NYC Ferry boardings
2024-09-19,09-19,September,19,Thursday,22805,High,Number of NYC Ferry boardings
2024-09-20,09-20,September,20,Friday,23152,High,Number of NYC Ferry boardings
2024-09-21,09-21,September,21,Saturday,38054,Very High,Number of NYC Ferry boardings
2024-09-22,09-22,September,22,Sunday,31191,Very High,Number of NYC Ferry boardings
2024-09-23,09-23,September,23,Monday,16791,Medium,Number of NYC Ferry boardings
2024-09-24,09-24,September,24,Tuesday,17909,Medium,Number of NYC Ferry boardings
2024-09-25,09-25,September,25,Wednesday,18391,Medium,Number of NYC Ferry boardings
2024-09-26,09-26,September,26,Thursday,17705,Medium,Number of NYC Ferry boardings
2024-09-27,09-27,September,27,Friday,20153,Medium,Number of NYC Ferry boardings
2024-09-28,09-28,September,28,Saturday,13835,Low,Number of NYC Ferry boardings
2024-09-29,09-29,September,29,Sunday,12023,Very Low,Number of NYC Ferry boardings
2024-09-30,09-30,September,30,Monday,20537,Medium,Number of NYC Ferry boardings
2024-10-01,10-01,October,1,Tuesday,20591,Medium,Number of NYC Ferry boardings
2024-10-02,10-02,October,2,Wednesday,20990,Medium,Number of NYC Ferry boardings
2024-10-03,10-03,October,3,Thursday,23370,High,Number of NYC Ferry boardings
2024-10-04,10-04,October,4,Friday,24733,High,Number of NYC Ferry boardings
2024-10-05,10-05,October,5,Saturday,36518,Very High,Number of NYC Ferry boardings
2024-10-06,10-06,October,6,Sunday,29832,Very High,Number of NYC Ferry boardings
2024-10-07,10-07,October,7,Monday,18733,Medium,Number of NYC Ferry boardings
2024-10-08,10-08,October,8,Tuesday,21247,Medium,Number of NYC Ferry boardings
2024-10-09,10-09,October,9,Wednesday,21445,Medium,Number of NYC Ferry boardings
2024-10-10,10-10,October,10,Thursday,19657,Medium,Number of NYC Ferry boardings
2024-10-11,10-11,October,11,Friday,20769,Medium,Number of NYC Ferry boardings
2024-10-12,10-12,October,12,Saturday,34560,Very High,Number of NYC Ferry boardings
2024-10-13,10-13,October,13,Sunday,31517,Very High,Number of NYC Ferry boardings
2024-10-14,10-14,October,14,Monday,19600,Medium,Number of NYC Ferry boardings
2024-10-15,10-15,October,15,Tuesday,18667,Medium,Number of NYC Ferry boardings
2024-10-16,10-16,October,16,Wednesday,19110,Medium,Number of NYC Ferry boardings
2024-10-17,10-17,October,17,Thursday,20243,Medium,Number of NYC Ferry boardings
2024-10-18,10-18,October,18,Friday,22727,High,Number of NYC Ferry boardings
2024-10-19,10-19,October,19,Saturday,34111,Very High,Number of NYC Ferry boardings
2024-10-20,10-20,October,20,Sunday,40097,Very High,Number of NYC Ferry boardings
2024-10-21,10-21,October,21,Monday,38905,Very High,Number of NYC Ferry boardings
2024-10-22,10-22,October,22,Tuesday,35562,Very High,Number of NYC Ferry boardings
2024-10-23,10-23,October,23,Wednesday,22285,High,Number of NYC Ferry boardings
2024-10-24,10-24,October,24,Thursday,21326,Medium,Number of NYC Ferry boardings
2024-10-25,10-25,October,25,Friday,19850,Medium,Number of NYC Ferry boardings
2024-10-26,10-26,October,26,Saturday,28106,Very High,Number of NYC Ferry boardings
2024-10-27,10-27,October,27,Sunday,22517,High,Number of NYC Ferry boardings
2024-10-28,10-28,October,28,Monday,18514,Medium,Number of NYC Ferry boardings
2024-10-29,10-29,October,29,Tuesday,20500,Medium,Number of NYC Ferry boardings
2024-10-30,10-30,October,30,Wednesday,23085,High,Number of NYC Ferry boardings
2024-10-31,10-31,October,31,Thursday,21832,High,Number of NYC Ferry boardings
2024-11-01,11-01,November,1,Friday,21802,High,Number of NYC Ferry boardings
2024-11-02,11-02,November,2,Saturday,26259,High,Number of NYC Ferry boardings
2024-11-03,11-03,November,3,Sunday,21185,Medium,Number of NYC Ferry boardings
2024-11-04,11-04,November,4,Monday,17384,Medium,Number of NYC Ferry boardings
2024-11-05,11-05,November,5,Tuesday,20482,Medium,Number of NYC Ferry boardings
2024-11-06,11-06,November,6,Wednesday,22213,High,Number of NYC Ferry boardings
2024-11-07,11-07,November,7,Thursday,21095,Medium,Number of NYC Ferry boardings
2024-11-08,11-08,November,8,Friday,18929,Medium,Number of NYC Ferry boardings
2024-11-09,11-09,November,9,Saturday,17372,Medium,Number of NYC Ferry boardings
2024-11-10,11-10,November,10,Sunday,13784,Low,Number of NYC Ferry boardings
2024-11-11,11-11,November,11,Monday,16980,Medium,Number of NYC Ferry boardings
2024-11-12,11-12,November,12,Tuesday,16739,Medium,Number of NYC Ferry boardings
2024-11-13,11-13,November,13,Wednesday,16942,Medium,Number of NYC Ferry boardings
2024-11-14,11-14,November,14,Thursday,15834,Low,Number of NYC Ferry boardings
2024-11-15,11-15,November,15,Friday,15432,Low,Number of NYC Ferry boardings
2024-11-16,11-16,November,16,Saturday,16958,Medium,Number of NYC Ferry boardings
2024-11-17,11-17,November,17,Sunday,15207,Low,Number of NYC Ferry boardings
2024-11-18,11-18,November,18,Monday,16767,Medium,Number of NYC Ferry boardings
2024-11-19,11-19,November,19,Tuesday,17795,Medium,Number of NYC Ferry boardings
2024-11-20,11-20,November,20,Wednesday,17498,Medium,Number of NYC Ferry boardings
2024-11-21,11-21,November,21,Thursday,11839,Very Low,Number of NYC Ferry boardings
2024-11-22,11-22,November,22,Friday,9829,Very Low,Number of NYC Ferry boardings
2024-11-23,11-23,November,23,Saturday,11879,Very Low,Number of NYC Ferry boardings
2024-11-24,11-24,November,24,Sunday,12129,Low,Number of NYC Ferry boardings
2024-11-25,11-25,November,25,Monday,16477,Medium,Number of NYC Ferry boardings
2024-11-26,11-26,November,26,Tuesday,14613,Low,Number of NYC Ferry boardings
2024-11-27,11-27,November,27,Wednesday,14741,Low,Number of NYC Ferry boardings
2024-11-28,11-28,November,28,Thursday,2819,Very Low,Number of NYC Ferry boardings
2024-11-29,11-29,November,29,Friday,10751,Very Low,Number of NYC Ferry boardings
2024-11-30,11-30,November,30,Saturday,11517,Very Low,Number of NYC Ferry boardings
2024-12-01,12-01,December,1,Sunday,7347,Very Low,Number of NYC Ferry boardings
2024-12-02,12-02,December,2,Monday,12709,Low,Number of NYC Ferry boardings
2024-12-03,12-03,December,3,Tuesday,15362,Low,Number of NYC Ferry boardings
2024-12-04,12-04,December,4,Wednesday,14057,Low,Number of NYC Ferry boardings
2024-12-05,12-05,December,5,Thursday,12646,Low,Number of NYC Ferry boardings
2024-12-06,12-06,December,6,Friday,12611,Low,Number of NYC Ferry boardings
2024-12-07,12-07,December,7,Saturday,11127,Very Low,Number of NYC Ferry boardings
2024-12-08,12-08,December,8,Sunday,11219,Very Low,Number of NYC Ferry boardings
