source,date,mmdd,month,day,weekday,value,abundance,description
watershed_wq_total_plankton,2024-01-05,01-05,January,5,Friday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
watershed_wq_temperature,2024-01-05,01-05,January,5,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
watershed_wq_total_nitrogen,2024-01-05,01-05,January,5,Friday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
ferry_ridership,2024-01-05,01-05,January,5,Friday,11366.0,Very Low,Number of NYC Ferry boardings
arrests,2024-01-05,01-05,January,5,Friday,670.0,Medium,Number of NYPD arrests
311_dhs,2024-01-05,01-05,January,5,Friday,69.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,2024-01-05,01-05,January,5,Friday,1934.0,Very High,Number of heat and hot water complaints to 311
watershed_wq_total_phosphorus,2024-01-05,01-05,January,5,Friday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
dog_bites,2024-01-05,01-05,January,5,Friday,3.0,Very Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,2024-01-06,01-06,January,6,Saturday,6286.0,Very Low,Number of NYC Ferry boardings
watershed_wq_ph,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
311_unsanitary,2024-01-06,01-06,January,6,Saturday,204.0,Low,Number of unsanitary condition complaints to 311
watershed_wq_turbidity,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
arrests,2024-01-06,01-06,January,6,Saturday,502.0,Very Low,Number of NYPD arrests
311_heat_hotwater,2024-01-06,01-06,January,6,Saturday,1638.0,Very High,Number of heat and hot water complaints to 311
311_noise_street,2024-01-06,01-06,January,6,Saturday,115.0,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,2024-01-06,01-06,January,6,Saturday,9.0,Low,Number of dog bite incidents reported to DOHMH
watershed_wq_dissolved_oxygen,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_total_plankton,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
watershed_wq_total_phosphorus,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
watershed_wq_temperature,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
watershed_wq_total_nitrogen,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
311_dhs,2024-01-06,01-06,January,6,Saturday,57.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,2024-01-06,01-06,January,6,Saturday,53.0,Very Low,Number of street condition complaints to 311
watershed_wq_dissolved_oxygen,2024-01-07,01-07,January,7,Sunday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-07,01-07,January,7,Sunday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
arrests,2024-01-07,01-07,January,7,Sunday,420.0,Very Low,Number of NYPD arrests
311_unsanitary,2024-01-07,01-07,January,7,Sunday,194.0,Very Low,Number of unsanitary condition complaints to 311
311_heat_hotwater,2024-01-07,01-07,January,7,Sunday,1286.0,Very High,Number of heat and hot water complaints to 311
watershed_wq_ph,2024-01-07,01-07,January,7,Sunday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
dog_bites,2024-01-07,01-07,January,7,Sunday,7.0,Very Low,Number of dog bite incidents reported to DOHMH
311_street_condition,2024-01-07,01-07,January,7,Sunday,67.0,Very Low,Number of street condition complaints to 311
ferry_ridership,2024-01-07,01-07,January,7,Sunday,3930.0,Very Low,Number of NYC Ferry boardings
watershed_wq_total_nitrogen,2024-01-07,01-07,January,7,Sunday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_temperature,2024-01-07,01-07,January,7,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
311_noise_street,2024-01-07,01-07,January,7,Sunday,86.0,Very Low,Number of street and sidewalk noise complaints to 311
watershed_wq_total_phosphorus,2024-01-07,01-07,January,7,Sunday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
watershed_wq_total_plankton,2024-01-07,01-07,January,7,Sunday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
311_dhs,2024-01-07,01-07,January,7,Sunday,46.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
watershed_wq_turbidity,2024-01-07,01-07,January,7,Sunday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_noise_street,2024-01-08,01-08,January,8,Monday,121.0,Very Low,Number of street and sidewalk noise complaints to 311
watershed_wq_turbidity,2024-01-08,01-08,January,8,Monday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_heat_hotwater,2024-01-08,01-08,January,8,Monday,1336.0,Very High,Number of heat and hot water complaints to 311
311_unsanitary,2024-01-08,01-08,January,8,Monday,419.0,High,Number of unsanitary condition complaints to 311
watershed_wq_fecal_coliform,2024-01-08,01-08,January,8,Monday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
watershed_wq_temperature,2024-01-08,01-08,January,8,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
watershed_wq_total_nitrogen,2024-01-08,01-08,January,8,Monday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
311_dhs,2024-01-08,01-08,January,8,Monday,107.0,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
watershed_wq_ph,2024-01-08,01-08,January,8,Monday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
dog_bites,2024-01-08,01-08,January,8,Monday,6.0,Very Low,Number of dog bite incidents reported to DOHMH
watershed_wq_total_phosphorus,2024-01-08,01-08,January,8,Monday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
arrests,2024-01-08,01-08,January,8,Monday,836.0,High,Number of NYPD arrests
311_street_condition,2024-01-08,01-08,January,8,Monday,160.0,Low,Number of street condition complaints to 311
watershed_wq_total_plankton,2024-01-08,01-08,January,8,Monday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
ferry_ridership,2024-01-08,01-08,January,8,Monday,12013.0,Very Low,Number of NYC Ferry boardings
watershed_wq_dissolved_oxygen,2024-01-08,01-08,January,8,Monday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
311_unsanitary,2024-01-09,01-09,January,9,Tuesday,420.0,High,Number of unsanitary condition complaints to 311
watershed_wq_ph,2024-01-09,01-09,January,9,Tuesday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
311_heat_hotwater,2024-01-09,01-09,January,9,Tuesday,1251.0,High,Number of heat and hot water complaints to 311
311_street_condition,2024-01-09,01-09,January,9,Tuesday,179.0,Medium,Number of street condition complaints to 311
watershed_wq_total_plankton,2024-01-09,01-09,January,9,Tuesday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
watershed_wq_turbidity,2024-01-09,01-09,January,9,Tuesday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_dhs,2024-01-09,01-09,January,9,Tuesday,134.0,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
watershed_wq_total_nitrogen,2024-01-09,01-09,January,9,Tuesday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
ferry_ridership,2024-01-09,01-09,January,9,Tuesday,9539.0,Very Low,Number of NYC Ferry boardings
watershed_wq_temperature,2024-01-09,01-09,January,9,Tuesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
arrests,2024-01-09,01-09,January,9,Tuesday,614.0,Low,Number of NYPD arrests
watershed_wq_total_phosphorus,2024-01-09,01-09,January,9,Tuesday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
311_noise_street,2024-01-09,01-09,January,9,Tuesday,58.0,Very Low,Number of street and sidewalk noise complaints to 311
watershed_wq_dissolved_oxygen,2024-01-09,01-09,January,9,Tuesday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-09,01-09,January,9,Tuesday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
dog_bites,2024-01-09,01-09,January,9,Tuesday,6.0,Very Low,Number of dog bite incidents reported to DOHMH
311_noise_street,2024-01-10,01-10,January,10,Wednesday,153.0,Low,Number of street and sidewalk noise complaints to 311
watershed_wq_turbidity,2024-01-10,01-10,January,10,Wednesday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_street_condition,2024-01-10,01-10,January,10,Wednesday,221.0,High,Number of street condition complaints to 311
311_unsanitary,2024-01-10,01-10,January,10,Wednesday,493.0,Very High,Number of unsanitary condition complaints to 311
311_heat_hotwater,2024-01-10,01-10,January,10,Wednesday,1118.0,High,Number of heat and hot water complaints to 311
watershed_wq_fecal_coliform,2024-01-10,01-10,January,10,Wednesday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
311_dhs,2024-01-10,01-10,January,10,Wednesday,80.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
watershed_wq_total_phosphorus,2024-01-10,01-10,January,10,Wednesday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
watershed_wq_dissolved_oxygen,2024-01-10,01-10,January,10,Wednesday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_total_nitrogen,2024-01-10,01-10,January,10,Wednesday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
dog_bites,2024-01-10,01-10,January,10,Wednesday,16.0,Very High,Number of dog bite incidents reported to DOHMH
ferry_ridership,2024-01-10,01-10,January,10,Wednesday,11504.0,Very Low,Number of NYC Ferry boardings
watershed_wq_total_plankton,2024-01-10,01-10,January,10,Wednesday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
arrests,2024-01-10,01-10,January,10,Wednesday,865.0,Very High,Number of NYPD arrests
watershed_wq_temperature,2024-01-10,01-10,January,10,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
watershed_wq_ph,2024-01-10,01-10,January,10,Wednesday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
watershed_wq_total_nitrogen,2024-01-11,01-11,January,11,Thursday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_dissolved_oxygen,2024-01-11,01-11,January,11,Thursday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
ferry_ridership,2024-01-11,01-11,January,11,Thursday,13574.0,Low,Number of NYC Ferry boardings
311_unsanitary,2024-01-11,01-11,January,11,Thursday,421.0,High,Number of unsanitary condition complaints to 311
311_street_condition,2024-01-11,01-11,January,11,Thursday,167.0,Low,Number of street condition complaints to 311
watershed_wq_temperature,2024-01-11,01-11,January,11,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
watershed_wq_turbidity,2024-01-11,01-11,January,11,Thursday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_dhs,2024-01-11,01-11,January,11,Thursday,70.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
watershed_wq_total_phosphorus,2024-01-11,01-11,January,11,Thursday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
watershed_wq_total_plankton,2024-01-11,01-11,January,11,Thursday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-11,01-11,January,11,Thursday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
311_noise_street,2024-01-11,01-11,January,11,Thursday,171.0,Low,Number of street and sidewalk noise complaints to 311
arrests,2024-01-11,01-11,January,11,Thursday,894.0,Very High,Number of NYPD arrests
dog_bites,2024-01-11,01-11,January,11,Thursday,4.0,Very Low,Number of dog bite incidents reported to DOHMH
watershed_wq_ph,2024-01-11,01-11,January,11,Thursday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
311_heat_hotwater,2024-01-11,01-11,January,11,Thursday,1090.0,High,Number of heat and hot water complaints to 311
watershed_wq_total_nitrogen,2024-01-12,01-12,January,12,Friday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-12,01-12,January,12,Friday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
arrests,2024-01-12,01-12,January,12,Friday,766.0,High,Number of NYPD arrests
watershed_wq_ph,2024-01-12,01-12,January,12,Friday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
ferry_ridership,2024-01-12,01-12,January,12,Friday,11433.0,Very Low,Number of NYC Ferry boardings
watershed_wq_dissolved_oxygen,2024-01-12,01-12,January,12,Friday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_total_phosphorus,2024-01-12,01-12,January,12,Friday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
watershed_wq_temperature,2024-01-12,01-12,January,12,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
311_street_condition,2024-01-12,01-12,January,12,Friday,158.0,Low,Number of street condition complaints to 311
311_heat_hotwater,2024-01-12,01-12,January,12,Friday,947.0,High,Number of heat and hot water complaints to 311
watershed_wq_total_plankton,2024-01-12,01-12,January,12,Friday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
311_noise_street,2024-01-12,01-12,January,12,Friday,169.0,Low,Number of street and sidewalk noise complaints to 311
watershed_wq_turbidity,2024-01-12,01-12,January,12,Friday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_dhs,2024-01-12,01-12,January,12,Friday,87.0,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
dog_bites,2024-01-12,01-12,January,12,Friday,7.0,Very Low,Number of dog bite incidents reported to DOHMH
311_unsanitary,2024-01-12,01-12,January,12,Friday,358.0,Medium,Number of unsanitary condition complaints to 311
watershed_wq_fecal_coliform,2024-01-13,01-13,January,13,Saturday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
ferry_ridership,2024-01-13,01-13,January,13,Saturday,9161.0,Very Low,Number of NYC Ferry boardings
watershed_wq_temperature,2024-01-13,01-13,January,13,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
arrests,2024-01-13,01-13,January,13,Saturday,651.0,Low,Number of NYPD arrests
311_dhs,2024-01-13,01-13,January,13,Saturday,74.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,2024-01-13,01-13,January,13,Saturday,946.0,High,Number of heat and hot water complaints to 311
watershed_wq_ph,2024-01-13,01-13,January,13,Saturday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
watershed_wq_dissolved_oxygen,2024-01-13,01-13,January,13,Saturday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
311_unsanitary,2024-01-13,01-13,January,13,Saturday,194.0,Very Low,Number of unsanitary condition complaints to 311
watershed_wq_total_plankton,2024-01-13,01-13,January,13,Saturday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
311_street_condition,2024-01-13,01-13,January,13,Saturday,73.0,Very Low,Number of street condition complaints to 311
311_noise_street,2024-01-13,01-13,January,13,Saturday,139.0,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,2024-01-13,01-13,January,13,Saturday,13.0,High,Number of dog bite incidents reported to DOHMH
watershed_wq_turbidity,2024-01-13,01-13,January,13,Saturday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
watershed_wq_total_nitrogen,2024-01-13,01-13,January,13,Saturday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_total_phosphorus,2024-01-13,01-13,January,13,Saturday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
watershed_wq_total_nitrogen,2024-01-14,01-14,January,14,Sunday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
311_heat_hotwater,2024-01-14,01-14,January,14,Sunday,1708.0,Very High,Number of heat and hot water complaints to 311
dog_bites,2024-01-14,01-14,January,14,Sunday,9.0,Low,Number of dog bite incidents reported to DOHMH
arrests,2024-01-14,01-14,January,14,Sunday,552.0,Very Low,Number of NYPD arrests
311_dhs,2024-01-14,01-14,January,14,Sunday,55.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_unsanitary,2024-01-14,01-14,January,14,Sunday,165.0,Very Low,Number of unsanitary condition complaints to 311
watershed_wq_temperature,2024-01-14,01-14,January,14,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
ferry_ridership,2024-01-14,01-14,January,14,Sunday,6585.0,Very Low,Number of NYC Ferry boardings
watershed_wq_turbidity,2024-01-14,01-14,January,14,Sunday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_noise_street,2024-01-14,01-14,January,14,Sunday,123.0,Very Low,Number of street and sidewalk noise complaints to 311
watershed_wq_dissolved_oxygen,2024-01-14,01-14,January,14,Sunday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-14,01-14,January,14,Sunday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
311_street_condition,2024-01-14,01-14,January,14,Sunday,84.0,Very Low,Number of street condition complaints to 311
watershed_wq_total_phosphorus,2024-01-14,01-14,January,14,Sunday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
watershed_wq_total_plankton,2024-01-14,01-14,January,14,Sunday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
watershed_wq_ph,2024-01-14,01-14,January,14,Sunday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
arrests,2024-01-15,01-15,January,15,Monday,536.0,Very Low,Number of NYPD arrests
watershed_wq_turbidity,2024-01-15,01-15,January,15,Monday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_noise_street,2024-01-15,01-15,January,15,Monday,86.0,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,2024-01-15,01-15,January,15,Monday,110.0,Very Low,Number of street condition complaints to 311
watershed_wq_ph,2024-01-15,01-15,January,15,Monday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
