date,mmdd,month,day,weekday,temperature_c,abundance,description
2024-04-27,04-27,April,27,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-04-28,04-28,April,28,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-04-29,04-29,April,29,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-04-30,04-30,April,30,Tuesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-01,05-01,May,1,Wednesday,10.9,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-02,05-02,May,2,Thursday,17.6,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-03,05-03,May,3,Friday,17.4,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-04,05-04,May,4,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-05,05-05,May,5,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-06,05-06,May,6,Monday,10.7,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-07,05-07,May,7,Tuesday,9.2,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-08,05-08,May,8,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-09,05-09,May,9,Thursday,5.6,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-10,05-10,May,10,Friday,9.3,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-11,05-11,May,11,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-12,05-12,May,12,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-13,05-13,May,13,Monday,13.0,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-14,05-14,May,14,Tuesday,10.4,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-15,05-15,May,15,Wednesday,11.5,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-16,05-16,May,16,Thursday,14.75,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-17,05-17,May,17,Friday,11.7,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-18,05-18,May,18,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-19,05-19,May,19,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-20,05-20,May,20,Monday,10.1,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-21,05-21,May,21,Tuesday,11.8,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-22,05-22,May,22,Wednesday,13.8,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-23,05-23,May,23,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-24,05-24,May,24,Friday,23.35,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-25,05-25,May,25,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-26,05-26,May,26,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-27,05-27,May,27,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-28,05-28,May,28,Tuesday,18.55,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-29,05-29,May,29,Wednesday,19.5,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-30,05-30,May,30,Thursday,6.3,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-05-31,05-31,May,31,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-01,06-01,June,1,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-02,06-02,June,2,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-03,06-03,June,3,Monday,19.95,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-04,06-04,June,4,Tuesday,16.7,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-05,06-05,June,5,Wednesday,13.850000000000001,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-06,06-06,June,6,Thursday,10.7,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-07,06-07,June,7,Friday,14.25,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-08,06-08,June,8,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-09,06-09,June,9,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-10,06-10,June,10,Monday,12.45,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-11,06-11,June,11,Tuesday,15.2,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-12,06-12,June,12,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-13,06-13,June,13,Thursday,16.4,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-14,06-14,June,14,Friday,6.3,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-15,06-15,June,15,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-16,06-16,June,16,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-17,06-17,June,17,Monday,17.0,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-18,06-18,June,18,Tuesday,14.1,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-19,06-19,June,19,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-20,06-20,June,20,Thursday,17.0,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-21,06-21,June,21,Friday,13.3,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-22,06-22,June,22,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-23,06-23,June,23,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-24,06-24,June,24,Monday,27.1,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-25,06-25,June,25,Tuesday,21.1,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-26,06-26,June,26,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-27,06-27,June,27,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-28,06-28,June,28,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-29,06-29,June,29,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-06-30,06-30,June,30,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-01,07-01,July,1,Monday,16.1,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-02,07-02,July,2,Tuesday,19.7,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-03,07-03,July,3,Wednesday,22.4,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-04,07-04,July,4,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-05,07-05,July,5,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-06,07-06,July,6,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-07,07-07,July,7,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-08,07-08,July,8,Monday,14.0,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-09,07-09,July,9,Tuesday,16.2,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-10,07-10,July,10,Wednesday,14.5,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-11,07-11,July,11,Thursday,9.5,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-12,07-12,July,12,Friday,25.1,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-13,07-13,July,13,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-14,07-14,July,14,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-15,07-15,July,15,Monday,24.9,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-16,07-16,July,16,Tuesday,24.4,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-17,07-17,July,17,Wednesday,17.45,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-18,07-18,July,18,Thursday,17.6,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-19,07-19,July,19,Friday,15.3,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-20,07-20,July,20,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-21,07-21,July,21,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-22,07-22,July,22,Monday,21.35,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-23,07-23,July,23,Tuesday,28.1,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-24,07-24,July,24,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-25,07-25,July,25,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-26,07-26,July,26,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-27,07-27,July,27,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-07-28,07-28,July,28,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
