date,mmdd,month,day,weekday,turbidity,abundance,description
2024-07-25,07-25,July,25,Thursday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-26,07-26,July,26,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-27,07-27,July,27,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-28,07-28,July,28,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-29,07-29,July,29,Monday,0.935,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-30,07-30,July,30,Tuesday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-31,07-31,July,31,Wednesday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-01,08-01,August,1,Thursday,1.1,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-02,08-02,August,2,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-03,08-03,August,3,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-04,08-04,August,4,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-05,08-05,August,5,Monday,0.6950000000000001,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-06,08-06,August,6,Tuesday,1.15,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-07,08-07,August,7,Wednesday,1.0,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-08,08-08,August,8,Thursday,1.1,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-09,08-09,August,9,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-10,08-10,August,10,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-11,08-11,August,11,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-12,08-12,August,12,Monday,0.8,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-13,08-13,August,13,Tuesday,0.78,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-14,08-14,August,14,Wednesday,2.7,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-15,08-15,August,15,Thursday,0.605,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-16,08-16,August,16,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-17,08-17,August,17,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-18,08-18,August,18,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-19,08-19,August,19,Monday,1.5,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-20,08-20,August,20,Tuesday,1.95,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-21,08-21,August,21,Wednesday,1.15,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-22,08-22,August,22,Thursday,0.88,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-23,08-23,August,23,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-24,08-24,August,24,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-25,08-25,August,25,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-26,08-26,August,26,Monday,1.15,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-27,08-27,August,27,Tuesday,1.7,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-28,08-28,August,28,Wednesday,0.9,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-29,08-29,August,29,Thursday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-30,08-30,August,30,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-08-31,08-31,August,31,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-01,09-01,September,1,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-02,09-02,September,2,Monday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-03,09-03,September,3,Tuesday,0.67,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-04,09-04,September,4,Wednesday,1.6,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-05,09-05,September,5,Thursday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-06,09-06,September,6,Friday,9.1,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-07,09-07,September,7,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-08,09-08,September,8,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-09,09-09,September,9,Monday,1.75,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-10,09-10,September,10,Tuesday,1.6,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-11,09-11,September,11,Wednesday,2.2,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-12,09-12,September,12,Thursday,0.76,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-13,09-13,September,13,Friday,0.75,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-14,09-14,September,14,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-15,09-15,September,15,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-16,09-16,September,16,Monday,0.7,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-09-17,09-17,September,17,Tuesday,2.3499999999999996,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
